DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,AL,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,AT,2020,559.315,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,AT,2021,139.947,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,BA,2020,11782.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,BE,2020,81.500,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,BE,2021,44.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,BG,2020,13510.660,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,BG,2021,17085.890,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,CY,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,CY,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,CZ,2020,31005.350,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,CZ,2021,34177.071,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,DE,2020,134595.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,DE,2021,164508.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,DK,2020,3061.706,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,DK,2021,4365.471,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EE,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EE,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EL,2020,6605.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EL,2021,5317.801,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,ES,2020,5522.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,ES,2021,4858.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EU27_2020,2020,352405.128,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,EU27_2020,2021,419003.888,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,FI,2020,2443.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,FI,2021,2673.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,FR,2020,3086.356,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,FR,2021,5442.813,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,GE,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,HR,2020,1215.400,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,HR,2021,1456.900,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,HU,2020,3711.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,HU,2021,3014.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,IE,2020,673.131,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,IE,2021,2717.529,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,IS,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,IT,2020,13379.486,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,IT,2021,14021.919,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LU,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LU,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LV,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,LV,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,MD,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,ME,2020,1615.400,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,MK,2020,2634.553,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,MT,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,MT,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,NL,2020,7605.423,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,NL,2021,14563.862,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,NO,2020,44.976,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,PL,2020,107397.738,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,PL,2021,127571.783,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,PT,2020,2363.091,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,PT,2021,800.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,RO,2020,9359.947,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,RO,2021,10688.586,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,RS,2020,26463.706,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SE,2020,1.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SE,2021,11.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SI,2020,4363.025,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SI,2021,3848.316,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SK,2020,1866.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,SK,2021,1698.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,TR,2020,104017.685,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,UA,2020,38631.800,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0000X0350-0370,GWH,XK,2020,6333.007,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,AL,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,AT,2020,1796.765,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,AT,2021,2017.448,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,BA,2020,65.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,BE,2020,1795.600,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,BE,2021,1984.100,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,BG,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,BG,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,CY,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,CY,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,CZ,2020,1680.732,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,CZ,2021,630.164,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,DE,2020,9104.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,DE,2021,11383.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,DK,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,DK,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EE,2020,748.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EE,2021,711.001,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EL,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EL,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,ES,2020,627.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,ES,2021,1156.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EU27_2020,2020,25490.353,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,EU27_2020,2021,28931.323,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,FI,2020,614.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,FI,2021,829.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,FR,2020,1857.185,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,FR,2021,1896.320,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,GE,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HR,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HR,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HU,2020,115.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,HU,2021,91.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IE,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IE,2021,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IS,2020,0.000,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IT,2020,1663.483,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,IT,2021,1914.088,
ESTAT:NRG_BAL_C(1.0),14/12/22 23:00:00,A,GEP,C0350-0370,GWH,LT,2020,0.000,
